City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kirensk,57.7853,108.1119,21.44,73,92,2.36,RU,1721029616
84,les cayes,18.2,-73.75,26.65,79,16,1.04,HT,1721029750
85,redwood falls,44.5394,-95.1169,21.97,88,0,2.06,US,1721029826
86,maddela,16.3414,121.6849,29.33,76,100,1.82,PH,1721029901
87,guarapari,-20.6667,-40.4975,21.05,65,34,2.13,BR,1721029977
88,sinan,34.8262,126.1086,30.06,95,41,5.43,KR,1721030053
89,egilsstadir,65.2653,-14.3948,11.95,76,0,1.03,IS,1721030129
90,mao,39.8885,4.2658,26.31,69,20,3.09,ES,1721030204
91,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,63,75,3.0,RU,1721030281
92,hamilton,39.1834,-84.5333,24.4,92,0,3.09,US,1721029960
93,sao joao da barra,-21.6403,-41.0511,19.02,81,46,3.83,BR,1721030433
94,port elizabeth,-33.918,25.5701,16.17,59,0,7.72,ZA,1721030508
95,soure,-0.7167,-48.5233,25.5,80,16,3.86,BR,1721030584
96,minas de marcona,-15.2119,-75.1103,9.02,93,81,5.17,PE,1721030660
97,georgetown,5.4112,100.3354,32.97,60,20,3.6,MY,1721030736
98,katsuura,35.1333,140.3,22.58,93,100,7.29,JP,1721030811
99,susuman,62.7833,148.1667,17.57,35,5,2.44,RU,1721030887
100,aasiaat,68.7098,-52.8699,2.93,93,100,1.08,GL,1721030963
101,joao camara,-5.5375,-35.8197,20.02,91,16,4.6,BR,1721031039
102,prineville,44.2999,-120.8345,18.6,50,0,2.57,US,1721031114
103,freeport,40.6576,-73.5832,25.14,90,0,3.09,US,1721031190
104,anchorage,61.2181,-149.9003,11.18,89,100,2.06,US,1721031003
105,yellowknife,62.456,-114.3525,17.45,66,20,5.14,CA,1721031342
106,nemuro,43.3236,145.575,16.73,93,56,3.05,JP,1721031417
107,kodiak,57.79,-152.4072,10.73,82,100,2.57,US,1721031493
108,itoman,26.1247,127.6694,33.01,66,20,4.63,JP,1721031569
109,romny,50.751,33.4747,33.9,30,100,3.1,UA,1721031645
110,vilyuysk,63.7553,121.6247,29.85,36,35,2.88,RU,1721031720
